epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,159.806,1.49041,2.3473,2.23487,1.01456,0,0.63517,0.21419,0.21064,0.13247,0.62688,0.20336,0.19513,0.10461,1.33543,2.01867,1.60615,0.96778,0,0.000277331,0.000277331,0.000277331
2,315.033,1.44563,2.31439,1.60763,1.00914,0,0.69243,0.20208,0.23272,0.13865,0.65662,0.19103,0.20783,0.10781,1.32904,2.02285,1.61467,0.98618,0,0.000524473,0.000524473,0.000524473
3,469.181,1.45122,2.22486,1.51139,1.00708,0,0.78311,0.20637,0.22321,0.13563,0.76473,0.19113,0.19453,0.10122,1.36077,2.01411,1.53252,0.98465,0,0.000741072,0.000741072,0.000741072
4,625.669,1.41626,2.1888,1.40183,0.99842,0,0.58921,0.24343,0.25757,0.16574,0.57382,0.23112,0.23056,0.13104,1.28282,1.98247,1.30358,0.97848,0,0.000695555,0.000695555,0.000695555
5,779.915,1.34579,2.09925,1.27212,0.9848,0,0.44598,0.26625,0.25793,0.16232,0.46282,0.22295,0.2345,0.12264,1.27468,1.97498,1.27864,0.98011,0,0.00064974,0.00064974,0.00064974
6,934.891,1.35141,2.12008,1.27573,0.98612,0,0.36492,0.23261,0.2627,0.17013,0.35421,0.22398,0.24046,0.1323,1.26574,1.98357,1.28445,0.9732,0,0.000603925,0.000603925,0.000603925
7,1088.75,1.31733,2.08506,1.22429,0.97949,0,0.60103,0.26418,0.28211,0.18431,0.59016,0.25746,0.26804,0.15284,1.24817,1.98448,1.17801,0.96165,0,0.00055811,0.00055811,0.00055811
8,1242.59,1.32091,2.05166,1.17474,0.97135,0,0.39208,0.27145,0.28861,0.1932,0.37673,0.25669,0.26427,0.15608,1.24479,1.89762,1.18526,0.96262,0,0.000512295,0.000512295,0.000512295
9,1389.29,1.31166,1.86636,1.20345,0.94587,0,0.35224,0.24143,0.2587,0.16424,0.33405,0.22422,0.23392,0.13253,1.26419,1.93553,1.24287,0.96863,0,0.00046648,0.00046648,0.00046648
10,1536.37,1.32986,1.85453,1.15762,0.94892,0,0.34611,0.2549,0.26987,0.17461,0.32956,0.23829,0.24263,0.13643,1.23775,1.89276,1.10678,0.96911,0,0.000420665,0.000420665,0.000420665
11,1682.16,1.27466,1.83316,1.10185,0.94071,0,0.344,0.26533,0.29018,0.19186,0.32455,0.24799,0.26731,0.15221,1.2201,1.86494,1.11256,0.95499,0,0.00037485,0.00037485,0.00037485
12,1828.05,1.27208,1.77985,1.08262,0.9349,0,0.29908,0.27653,0.28242,0.18453,0.27728,0.25762,0.25939,0.14888,1.19911,1.90446,1.10001,0.95165,0,0.000329035,0.000329035,0.000329035
13,1974.56,1.26156,1.79417,1.05771,0.92517,0,0.30586,0.28098,0.29313,0.19552,0.37522,0.23505,0.27127,0.15419,1.20968,1.89796,1.10681,0.95867,0,0.00028322,0.00028322,0.00028322
14,2121.17,1.2599,1.75681,1.04368,0.92799,0,0.34942,0.29863,0.30261,0.19946,0.333,0.28257,0.2822,0.1578,1.19902,1.86442,1.09309,0.95038,0,0.000237405,0.000237405,0.000237405
15,2267.34,1.23287,1.73411,1.00768,0.91876,0,0.34811,0.27616,0.2993,0.20252,0.29156,0.28867,0.27515,0.16324,1.18532,1.85047,1.09421,0.94501,0,0.00019159,0.00019159,0.00019159
16,2413.93,1.21544,1.68384,0.97616,0.91582,0,0.34034,0.29999,0.30409,0.20501,0.3319,0.28847,0.28242,0.15761,1.17164,1.85639,1.03089,0.94652,0,0.000145775,0.000145775,0.000145775
17,2560.27,1.20033,1.71365,0.96363,0.91079,0,0.35337,0.29449,0.3066,0.20741,0.32068,0.28822,0.28047,0.16222,1.14965,1.83428,1.04797,0.93571,0,9.996e-05,9.996e-05,9.996e-05
18,2706.63,1.18044,1.68111,0.94089,0.90678,0,0.36567,0.29662,0.30677,0.20674,0.34327,0.25832,0.278,0.1606,1.14232,1.83021,1.02727,0.93709,0,5.4145e-05,5.4145e-05,5.4145e-05
